arquivo,split,estado,gato_x,gato_y,rotacao_z,cor_r,cor_g,cor_b,bbox_x,bbox_y,bbox_w,bbox_h
litterwatch_000,train,dentro,0.2083,0.4328,5.2032,0.08,0.08,0.09,0.536773,0.440083,0.229162,0.231308
litterwatch_001,train,dentro,-0.073,0.0229,5.5482,0.55,0.52,0.48,0.517286,0.446969,0.252861,0.220909
litterwatch_002,train,dentro,0.3115,0.2816,1.7369,0.08,0.08,0.09,0.541656,0.446717,0.202952,0.238353
litterwatch_003,train,dentro,0.4641,-0.203,2.6976,0.55,0.52,0.48,0.496089,0.456973,0.274427,0.253877
litterwatch_004,train,dentro,-0.2348,-0.1801,1.1024,0.3,0.16,0.08,0.484269,0.448103,0.156267,0.243667
litterwatch_005,train,fora,3.9225,-1.49,2.8922,0.3,0.16,0.08,0.658151,0.611402,0.319296,0.311252
litterwatch_006,train,dentro,0.0733,0.0971,5.6762,0.08,0.08,0.09,0.53159,0.448965,0.267197,0.225642
litterwatch_007,train,proximo,-3.1591,-0.1912,2.8161,0.72,0.2,0.04,0.306215,0.429301,0.242337,0.22402
litterwatch_008,train,fora,4.1937,1.2234,0.299,0.82,0.76,0.62,0.844117,0.542319,0.202246,0.24483
litterwatch_009,train,fora,-3.7671,0.366,5.1367,0.82,0.76,0.62,0.314849,0.411753,0.180962,0.206331
litterwatch_010,train,dentro,0.5338,-0.0057,1.0069,0.55,0.52,0.48,0.536539,0.458406,0.150518,0.247161
litterwatch_011,train,dentro,-0.5857,-0.0553,3.7367,0.08,0.08,0.09,0.428571,0.434456,0.174959,0.242603
litterwatch_012,train,proximo,2.7586,-0.3584,2.2246,0.08,0.08,0.09,0.655348,0.534987,0.272712,0.254856
litterwatch_013,val,proximo,-3.1901,-0.0408,2.5186,0.08,0.08,0.09,0.323491,0.422517,0.219675,0.212343
litterwatch_014,val,fora,-3.735,-0.0241,4.7437,0.72,0.2,0.04,0.304137,0.418617,0.174648,0.219485
litterwatch_015,train,proximo,-2.7061,-0.1429,3.3565,0.82,0.76,0.62,0.317263,0.434229,0.226143,0.23105
litterwatch_016,train,dentro,0.1575,-0.2511,3.3758,0.82,0.76,0.62,0.459589,0.453074,0.232419,0.258342
litterwatch_017,train,fora,-3.9384,0.2677,6.1814,0.82,0.76,0.62,0.333605,0.418053,0.235277,0.19387
litterwatch_018,train,fora,3.6623,0.3026,0.3928,0.82,0.76,0.62,0.773735,0.552705,0.193237,0.255897
litterwatch_019,val,fora,-3.8437,-0.1744,4.1941,0.55,0.52,0.48,0.295999,0.413451,0.135259,0.221104
litterwatch_020,train,fora,-4.0858,1.2524,5.8518,0.82,0.76,0.62,0.370707,0.389517,0.222009,0.185559
litterwatch_021,train,proximo,2.9344,-1.1092,0.2596,0.3,0.16,0.08,0.669302,0.578861,0.238221,0.26509
litterwatch_022,test,dentro,0.1684,0.1866,3.2255,0.3,0.16,0.08,0.483007,0.443966,0.245066,0.25405
litterwatch_023,train,fora,3.7085,-0.4343,2.9138,0.08,0.08,0.09,0.691426,0.565681,0.301945,0.295332
litterwatch_024,train,fora,-4.1247,-1.7253,0.1422,0.55,0.52,0.48,0.227885,0.456144,0.24455,0.200787
litterwatch_025,train,proximo,-3.1747,-1.099,2.4716,0.55,0.52,0.48,0.273897,0.44443,0.223444,0.220187
litterwatch_026,train,fora,-3.8718,1.7554,5.024,0.72,0.2,0.04,0.373195,0.38711,0.168206,0.197882
litterwatch_027,train,proximo,3.0769,0.1714,1.3357,0.82,0.76,0.62,0.717029,0.53149,0.226659,0.276853
litterwatch_028,train,dentro,-0.6359,-0.4102,3.8197,0.82,0.76,0.62,0.409641,0.440137,0.168037,0.244789
litterwatch_029,train,proximo,2.7138,-1.0204,0.6334,0.82,0.76,0.62,0.645442,0.562094,0.161191,0.26938
litterwatch_030,test,proximo,-2.9045,-0.4052,0.4145,0.72,0.2,0.04,0.350781,0.444553,0.197916,0.206724
litterwatch_031,train,fora,-4.0782,-0.4283,4.3064,0.82,0.76,0.62,0.280128,0.415433,0.133378,0.222634
litterwatch_032,test,proximo,-2.9315,0.003,1.5756,0.82,0.76,0.62,0.357828,0.424727,0.172128,0.218322
litterwatch_033,train,dentro,-0.0802,0.2968,2.6861,0.08,0.08,0.09,0.488124,0.437803,0.262124,0.242343
litterwatch_034,train,dentro,-0.6632,-0.385,2.705,0.82,0.76,0.62,0.424108,0.443726,0.259597,0.242932
litterwatch_035,train,fora,-3.7814,0.74,6.0296,0.3,0.16,0.08,0.362356,0.408396,0.232883,0.191476
litterwatch_036,train,dentro,0.0195,0.1635,0.0908,0.72,0.2,0.04,0.533033,0.458912,0.236652,0.215344
litterwatch_037,train,proximo,3.1059,-1.0635,0.9787,0.3,0.16,0.08,0.658596,0.572755,0.188174,0.289956
litterwatch_038,train,proximo,-2.9483,-0.1382,5.0498,0.82,0.76,0.62,0.328997,0.4321,0.18887,0.219121
litterwatch_039,train,dentro,-0.5403,0.3424,0.3594,0.82,0.76,0.62,0.509139,0.439968,0.195881,0.216505
litterwatch_040,val,fora,-4.0271,0.1838,4.2174,0.82,0.76,0.62,0.303021,0.411089,0.132632,0.217748
litterwatch_041,train,fora,3.686,-1.6528,1.6251,0.3,0.16,0.08,0.68327,0.603673,0.258185,0.311187
litterwatch_042,train,proximo,2.9675,0.4871,5.8258,0.72,0.2,0.04,0.742338,0.526248,0.304788,0.247318
litterwatch_043,train,dentro,0.3666,0.3135,1.6498,0.82,0.76,0.62,0.546177,0.447001,0.202248,0.240984
litterwatch_044,train,dentro,0.71,-0.444,5.9537,0.72,0.2,0.04,0.548689,0.475081,0.289295,0.240085
litterwatch_045,val,proximo,3.1522,-0.3943,2.0247,0.08,0.08,0.09,0.682243,0.552909,0.242082,0.259199
litterwatch_046,test,dentro,0.7541,-0.4181,1.5556,0.3,0.16,0.08,0.536876,0.469791,0.210806,0.255855
litterwatch_047,train,fora,-4.1995,0.3366,5.5744,0.82,0.76,0.62,0.316978,0.407755,0.213112,0.194775
litterwatch_048,train,dentro,-0.0029,-0.1791,5.084,0.72,0.2,0.04,0.4871,0.450799,0.215951,0.240018
litterwatch_049,train,proximo,-3.0876,0.3006,5.8649,0.72,0.2,0.04,0.373172,0.425558,0.240346,0.20024
litterwatch_050,train,proximo,2.8321,1.1487,1.9213,0.55,0.52,0.48,0.731469,0.501575,0.224675,0.244415
litterwatch_051,train,proximo,2.8566,-1.188,2.658,0.3,0.16,0.08,0.605282,0.56663,0.311309,0.288103
litterwatch_052,test,proximo,2.7492,-0.3116,1.4939,0.82,0.76,0.62,0.669411,0.540799,0.225428,0.277375
litterwatch_053,train,fora,3.7925,-0.7508,4.0916,0.3,0.16,0.08,0.716363,0.579945,0.185113,0.297948
litterwatch_054,val,fora,-3.5452,-1.6298,1.1777,0.3,0.16,0.08,0.239586,0.454294,0.140705,0.229958
litterwatch_055,train,proximo,3.0057,-0.7591,4.9369,0.72,0.2,0.04,0.655431,0.559034,0.247643,0.282914
litterwatch_056,train,proximo,-3.2661,-1.1825,1.0353,0.3,0.16,0.08,0.278062,0.448433,0.123506,0.226212
litterwatch_057,train,fora,-4.0711,1.1903,0.4387,0.08,0.08,0.09,0.370292,0.397634,0.173426,0.186658
litterwatch_058,train,fora,-4.1271,0.8801,3.1706,0.72,0.2,0.04,0.308959,0.389148,0.218184,0.21098
litterwatch_059,test,dentro,0.586,-0.3017,5.595,0.55,0.52,0.48,0.544353,0.464339,0.274123,0.234914
